"","country","countryname","oecdmember","eumember","edate","date","party","partyname","partyabbrev","parfam","coderid","manual","coderyear","testresult","testeditsim","pervote","voteest","presvote","absseat","totseats","progtype","datasetorigin","corpusversion","total","peruncod","per101","per102","per103","per104","per105","per106","per107","per108","per109","per110","per201","per202","per203","per204","per301","per302","per303","per304","per305","per401","per402","per403","per404","per405","per406","per407","per408","per409","per410","per411","per412","per413","per414","per415","per416","per501","per502","per503","per504","per505","per506","per507","per601","per602","per603","per604","per605","per606","per607","per608","per701","per702","per703","per704","per705","per706","per1011","per1012","per1013","per1014","per1015","per1016","per1021","per1022","per1023","per1024","per1025","per1026","per1031","per1032","per1033","per2021","per2022","per2023","per2031","per2032","per2033","per2041","per3011","per3051","per3052","per3053","per3054","per3055","per4011","per4012","per4013","per4014","per4121","per4122","per4123","per4124","per4131","per4132","per5021","per5031","per5041","per5061","per6011","per6012","per6013","per6014","per6061","per6071","per6072","per6081","per7051","per7052","per7061","per7062","per103_1","per103_2","per201_1","per201_2","per202_1","per202_2","per202_3","per202_4","per305_1","per305_2","per305_3","per305_4","per305_5","per305_6","per416_1","per416_2","per601_1","per601_2","per602_1","per602_2","per605_1","per605_2","per606_1","per606_2","per607_1","per607_2","per607_3","per608_1","per608_2","per608_3","per703_1","per703_2","rile","planeco","markeco","welfare","intpeace","datasetversion","id_perm"
"85",11,"Sweden",10,0,1991-09-15,199109,11951,"New Democracy","NyD",95,228,1,1994,0.631,NA,6.732,0,NA,25,349,1,10,"",278,5.755,5.755,0,0,1.439,0,0.36,0.719,2.158,0,0,8.993,4.317,1.079,0,1.079,0,10.791,0,0,3.237,5.396,1.799,0,0,0,0,0,0,0,5.036,0,0,19.424,0,0,3.597,0,2.518,0.36,0,2.518,0,0.719,0,6.115,0,6.475,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.806,1.799,22.662,2.878,0.36,"2018a","KKBAOW"
"120",11,"Sweden",10,10,2010-09-19,201009,11710,"Sweden Democrats","SD",70,277,3,2010,0.467,NA,5.7,0,NA,20,349,1,51,"2018-1",204,0,0,0,0,4.412,0.49,0,2.941,0,0,4.412,1.961,0.98,0,0,1.471,0.49,0.49,0,0.98,0.49,5.882,0,0,0,0,0,1.961,0,0.49,1.961,0,0,0,0,0,5.392,0,1.471,13.725,0,5.882,0,12.255,0,4.902,0,8.824,0,0,7.353,0,1.471,0.98,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.686,0,0.49,15.196,0.49,"2018a","YOPTUG"
"128",11,"Sweden",10,10,2014-09-14,201409,11710,"Sweden Democrats","SD",70,333,5,2017,0.807,0.712,12.857,0,NA,49,349,1,121,"2018-1",316,0,0,0,0,3.797,0,0,5.696,0,2.848,2.532,1.582,0,0,0,0,0,0,0,1.266,0.949,2.532,0,0,0,0,0,0,0,0,3.165,0,0,0,0,0,5.38,2.215,3.797,16.456,1.266,6.962,0.316,9.81,0,0.949,0,7.595,1.266,0.633,4.114,8.544,0,2.215,0,0,4.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.266,0.316,0,0,0,0,1.266,0,0,0,0,0,0,0,6.329,3.481,0,0,7.595,0,1.266,0,0,0,0.633,0.316,3.165,0.633,2.215,0,-6.646,0,0.949,20.253,0,"2018a","P9TZ4K"
"249",13,"Denmark",0,0,1945-10-30,194510,13953,"Danish Union","DS",95,107,999,1983,NA,NA,3.111,0,NA,4,148,1,10,"",136,19.118,1.471,8.088,0,2.206,0,0,1.471,0,0,0,0.735,1.471,0.735,0,0.735,0,0,0,0.735,0,0,4.412,0,0,0.735,0,8.824,1.471,8.824,3.676,2.941,0,3.676,0,0,0,0,2.206,10.294,0.735,1.471,0,0,0,0,0,1.471,0,0,0,1.471,0,2.206,1.471,0,7.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.971,7.353,3.676,12.5,8.088,"2018a","1QS6AT"
"392",13,"Denmark",10,10,1987-09-08,198709,13221,"Common Course","FK",20,107,999,1993,NA,NA,2.16,0,NA,4,175,1,10,"",103,5.825,1.942,0,0,0,8.738,0,2.913,0,1.942,3.883,0,0.971,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0,5.825,0,0,3.883,5.825,0.971,1.942,18.447,0,6.796,0,0.971,0,2.913,0,0,0.971,0,0,8.738,0,0,0,0,15.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.544,0.971,0,20.388,8.738,"2018a","L2JIGI"
"453",13,"Denmark",10,10,2007-11-13,200711,13001,"New Alliance","NY",40,278,3,2010,0.826,NA,2.81,0,NA,5,175,1,40,"2018-1",48,0,0,0,0,0,0,0,6.25,2.083,0,0,8.333,12.5,0,0,0,0,4.167,0,6.25,0,4.167,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,12.5,0,0,12.5,0,0,0,2.083,0,0,0,0,0,4.167,4.167,2.083,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.5,0,0,12.5,0,"2018a","VHRIRD"
"461",13,"Denmark",10,10,2011-09-15,201109,13001,"Liberal Alliance","",40,278,4,2012,0.862,0.636,4.976,0,NA,9,175,1,61,"2018-1",87,5.747,0,0,0,0,0,0,0,0,0,0,27.586,0,0,0,0,0,4.598,0,10.345,14.943,6.897,0,0,0,0,0,3.448,0,6.897,0,0,0,0,0,0,0,0,1.149,8.046,3.448,3.448,0,0,3.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.724,0,14.943,9.195,0,"2018a","LDM32W"
"469",14,"Finland",0,0,1945-03-18,194503,14221,"Finnish People’s Democratic Union","SKDL",20,209,1,1995,0.669,NA,23.471,0,NA,49,200,1,10,"",205,2.927,7.805,0.976,0,0,0.488,12.195,0.976,0,0,0,3.902,25.854,0,15.61,0,0,0,0,0,0,0,0,5.854,0,0,0,3.415,0,0,0.488,0,0,0,0.488,0,0,0,0.976,0,0,0,0,0,0,1.463,0,0,2.927,0,0,5.854,0,2.927,0,0.488,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.927,5.854,0,0.976,13.659,"2018a","Z8T6BR"
"470",14,"Finland",0,0,1945-03-18,194503,14320,"Finnish Social Democrats","SSDP",30,208,1,1993,0.341,NA,25.08,0,NA,50,200,1,10,"",38,10.526,5.263,0,0,0,0,0,0,0,0,0,7.895,2.632,2.632,0,0,0,0,0,7.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.632,0,0,0,0,60.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.947,0,0,0,0,"2018a","C1HESX"
"471",14,"Finland",0,0,1945-03-18,194503,14420,"National Progressive Party","KE",40,998,998,NA,NA,NA,5.174,0,NA,9,200,3,10,"",139,5.755,2.158,0,0,0,0,0,1.439,0,0,0,3.597,2.878,0,0,0,0,0,0,28.777,6.475,2.878,1.439,4.317,0,0,0,0,0,4.317,5.755,0,0,2.158,0,0,0.719,0,4.317,11.511,0,4.317,0,0,0,1.439,0,0,2.158,0,0,0,0,0,3.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.583,5.755,8.633,15.827,0,"2018a","PP1FLT"
