"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403909090909091,0,0,0.681272727272727,0.0596818181818182,1.43590909090909,1.68409090909091,0.579727272727273,0,0.140227272727273,1.65154545454545,1.93054545454545,0.0818181818181818,0.0954545454545454,6.13627272727273,0,1.05013636363636,0,0.663136363636364,3.82236363636364,6.24418181818182,1.19572727272727,0.752,0.217545454545455,0.340909090909091,0.147681818181818,1.79022727272727,0.665318181818182,2.30390909090909,2.61868181818182,0.362818181818182,0,4.25504545454545,0,0.0358636363636364,11.0789545454545,1.21286363636364,4.90172727272727,10.326,0.463181818181818,5.66695454545455,0,0.576045454545455,0.107636363636364,2.25940909090909,0,1.91159090909091,0.712090909090909,0.869227272727273,0,0.6455,0.0768636363636364,8.41204545454545,0.113818181818182,0.299909090909091,2.57277272727273
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649315789473684,0,0,0.166315789473684,0.106684210526316,0.407368421052632,1.47810526315789,0.994368421052632,0.329368421052632,0,4.82110526315789,4.97868421052632,0.532473684210526,5.20447368421053,0.747789473684211,0.0263157894736842,2.01126315789474,0,4.03457894736842,5.52631578947368,4.61952631578947,0.519578947368421,3.54926315789474,0.0600526315789474,0,0.061578947368421,3.31857894736842,0.0263157894736842,0.985,1.94826315789474,0.802578947368421,0,1.57010526315789,0,0.141894736842105,3.34331578947368,0.766578947368421,5.44242105263158,12.3798421052632,0.569421052631579,2.33184210526316,0.178526315789474,0.816842105263158,0,1.58021052631579,0.0877368421052632,0.966526315789474,3.90494736842105,0.235368421052632,0.0424210526315789,1.95547368421053,0.723210526315789,4.11536842105263,3.84068421052632,0.550894736842105,3.50478947368421
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.9,0,0,0,0,0,0,1.8,0,0.9,6.1,0,4.4,0,0,1.8,0.9,0.9,0,0.9,0.9,2.6,3.5,0,1.8,15.8,0,0,0.9,0,0,6.1,3.5,2.6,7,0,3.5,0,0,0,7,0,0,0,0,0,1.8,0,19.3,0,0.9,0.9
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331785714285714,0.00614285714285714,0.829714285714286,0.744714285714286,0.238714285714286,0.524928571428571,1.58728571428571,3.65585714285714,0,0.0533571428571429,1.02385714285714,3.45928571428571,0.8675,0.292,4.67557142857143,0.1995,6.966,0.683714285714286,3.03857142857143,1.23764285714286,2.73335714285714,1.55885714285714,1.06464285714286,0.180785714285714,0.166071428571429,0.0815,2.44364285714286,0.218785714285714,1.11585714285714,5.22135714285714,0.397857142857143,0.0817857142857143,1.52421428571429,0.00871428571428571,0.999428571428571,4.13307142857143,3.89728571428571,3.00057142857143,6.72635714285714,0.480928571428571,3.28221428571429,0,0.772142857142857,0.0992142857142857,2.799,0.057,3.56171428571429,2.40264285714286,2.04085714285714,0.471642857142857,1.55292857142857,0,1.05035714285714,2.02971428571429,2.76128571428571,5.67378571428571
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064,0,0,1.489,0.319,0,0.213,0.532,0.851,0.213,0,0.319,1.17,7.553,0,4.362,5.426,2.553,0.745,1.383,0.426,1.17,0.851,1.489,0,5.426,8.723,0.532,0,3.511,0,1.596,4.894,1.064,7.553,11.064,2.34,2.128,0.638,1.064,0,0.106,0,3.511,1.064,0.532,0.957,6.383,0.319,1.915,0,0,2.447
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813,1.626,4.065,0,0.813,5.691,8.13,0,0,4.065,0,2.439,4.878,0.813,2.439,4.065,2.439,0.813,0.813,0,0,0,0.813,0,0,0,0,0,0,0,13.821,1.626,4.878,3.252,0,2.439,0,3.252,0,1.626,0,0.813,0.813,0,0,0,0,7.317,0,0,0.813
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.381,0,0,0,4.696,0,0,1.105,4.144,0,0.829,0.276,0.552,9.116,2.762,0.276,1.934,3.039,1.381,0.552,1.105,1.105,0,0,0,0.276,4.696,0,0,2.762,0,2.486,3.039,1.105,11.878,5.249,0.829,6.906,0,4.972,0.276,0,0.276,6.354,2.21,1.934,0.829,5.525,0,3.315,0.552,0,0.276
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1815,0,0,0,0,1.213,0.8195,2.459,0,0,4.0985,2.459,0,0,4.4275,0.7875,3.608,0.3935,1.181,1.9685,4.4595,1.575,0,0.3935,0.7875,0,3.64,3.1495,2.756,3.2145,2.756,0,1.575,0,0,3.2145,2.0005,6.4605,5.215,0.8195,6.4605,0,1.181,0,1.607,0,2.8525,0.8195,0,0,0,0,3.1815,0.3935,3.608,3.2145
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1495,0,0,0.584583333333333,0.170083333333333,0.906833333333333,0.651416666666667,2.85041666666667,0.15,0,1.63333333333333,2.89575,1.47908333333333,0.943166666666667,2.62516666666667,0.01825,10.1013333333333,2.06883333333333,4.80858333333333,1.58108333333333,1.15958333333333,0.90525,1.81391666666667,0.86,0,0.085,8.18658333333333,1.50991666666667,1.05458333333333,1.1275,0,0.182333333333333,2.73266666666667,0,0,0.797,0.082,1.56041666666667,2.58841666666667,0.255083333333333,4.49208333333333,0.0825,0.773,0,0.1315,1.44933333333333,0.831166666666667,0,0.509166666666667,0.0825,2.17725,0.148666666666667,1.63258333333333,0.684833333333333,0.340166666666667,1.24725
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857,5.714,0,0,0,0,0,2.857,0,0,0,0,0,5.714,5.714,0,0,0,0,0,0,0,0,0,2.857,0,0,0,0,0,0,14.286,2.857,11.429,5.714,0,0,0,0,0,5.714,0,0,14.286,0,0,8.571,0,0,0,2.857,8.571
