"","x"
"1",1
"2",1
"3",1
"4",1
"5",3
"6",3
"7",3
"8",2
"9",3
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",3
"18",1
"19",3
"20",3
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",3
"28",1
"29",3
"30",3
"31",3
"32",3
"33",3
"34",3
"35",3
"36",3
"37",1
"38",1
"39",1
"40",1
"41",1
"42",3
"43",1
"44",3
"45",3
"46",3
"47",2
"48",1
"49",3
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",3
"59",1
"60",1
"61",3
"62",2
"63",1
"64",3
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",3
"75",3
"76",3
"77",1
"78",3
"79",1
"80",1
"81",3
"82",3
"83",2
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",3
"91",3
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",3
"101",1
"102",1
"103",1
"104",3
"105",1
"106",3
"107",3
"108",3
"109",3
"110",1
"111",3
"112",3
"113",3
"114",3
"115",1
"116",3
"117",1
"118",2
"119",3
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",2
"132",1
"133",1
"134",1
"135",1
"136",1
"137",2
"138",3
"139",3
"140",3
"141",1
"142",1
"143",3
"144",3
"145",3
"146",3
"147",2
"148",1
"149",1
"150",1
"151",3
"152",1
"153",3
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",3
"164",1
"165",3
"166",1
"167",1
"168",1
"169",2
"170",3
"171",1
"172",1
"173",3
"174",3
"175",3
"176",3
"177",3
"178",3
"179",3
"180",3
"181",3
"182",3
"183",3
"184",3
"185",1
"186",3
"187",3
"188",1
"189",1
"190",1
"191",1
"192",1
"193",2
"194",3
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",3
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",3
"214",3
"215",1
"216",1
"217",3
"218",2
"219",1
"220",1
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",2
"230",1
"231",1
"232",1
"233",1
"234",1
"235",1
"236",1
"237",1
"238",1
"239",1
"240",1
"241",1
"242",3
"243",3
"244",3
"245",3
"246",3
"247",3
"248",2
"249",3
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",3
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",3
"274",3
"275",1
"276",1
"277",1
"278",3
"279",3
"280",3
"281",1
"282",1
"283",3
"284",1
"285",1
"286",1
"287",1
"288",3
"289",3
"290",1
"291",3
"292",1
"293",3
"294",1
"295",1
"296",1
"297",1
"298",1
"299",3
"300",3
"301",2
"302",3
"303",1
"304",3
"305",3
"306",3
"307",3
"308",3
"309",3
"310",3
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",3
"319",3
"320",1
"321",1
"322",3
"323",3
"324",1
"325",3
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",3
"338",3
"339",3
"340",1
"341",1
"342",1
"343",3
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",3
"351",3
"352",3
"353",3
"354",3
"355",3
"356",3
"357",1
"358",3
"359",1
"360",1
"361",3
"362",1
"363",1
"364",1
"365",3
"366",3
"367",3
"368",3
"369",1
"370",3
"371",1
"372",1
"373",3
"374",3
"375",3
"376",3
"377",3
"378",3
"379",1
"380",3
"381",1
"382",1
"383",1
"384",1
"385",3
"386",3
"387",1
"388",3
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",3
"402",1
"403",1
"404",2
"405",1
"406",3
"407",1
"408",3
"409",3
"410",1
"411",1
"412",1
"413",3
"414",1
"415",1
"416",1
"417",1
"418",2
"419",1
"420",1
"421",1
"422",3
"423",1
"424",1
"425",1
"426",1
"427",1
"428",3
"429",3
"430",1
"431",3
"432",3
"433",1
"434",3
"435",1
"436",3
"437",3
"438",3
"439",3
"440",3
"441",3
"442",3
"443",3
"444",3
"445",3
"446",2
"447",1
"448",1
"449",1
"450",3
"451",3
"452",3
"453",3
"454",3
"455",3
"456",3
"457",3
"458",3
"459",1
"460",2
"461",3
"462",3
"463",3
"464",3
"465",3
"466",3
"467",3
"468",3
"469",1
"470",3
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",3
"478",1
"479",1
"480",3
"481",3
