"","x"
"1","Green Ecology Party"
"2","Communist Party of Sweden"
"3","Social Democratic Labour Party"
"4","People’s Party"
"5","Green Party"
"6","Norwegian Communist Party"
"7","Socialist People’s Party"
"8","Norwegian Labour Party"
"9","New People’s Party"
"10","Liberal Party"
"11","Christian People’s Party"
"12","Farmers’ Party"
"13","Left Socialist Party"
"14","Danish Communist Party"
"15","Common Course"
"16","Red-Green Unity List"
"17","Socialist People’s Party"
"18","Social Democratic Party"
"19","Danish Social-Liberal Party"
"20","Danish Union"
"21","Green Union"
"22","Finnish People’s Democratic Union"
"23","Democratic Alternative"
"24","Left Wing Alliance"
"25","Finnish Social Democrats"
"26","Agrarian Union"
"27","Swedish People’s Party"
"28","Left Green Movement"
"29","United Socialist Party"
"30","Social Democratic Party"
"31","Social Democratic Federation"
"32","Union of Liberals and Leftists"
"33","Awakening of the Nation"
"34","The Alliance"
"35","Citizens' Movement"
"36","Bright Future"
"37","National Preservation Party"
"38","Women’s Alliance"
"39","Pirate Party"
"40","Ecologists"
"41","Live Differently"
"42","Socialist Party Different - Spirit"
"43","Belgian Socialist Party"
"44","Flemish Socialist Party"
"45","Francophone Socialist Party"
"46","Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking"
"47","Liberal Reformation Party - Francophone Democratic Front"
"48","Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change"
"49","Reform Movement"
"50","Christian Social Party"
"51","Walloon Rally"
"52","Francophone Democratic Front of Francophones of Brussels"
"53","Flemish Christian Peoples’ Union"
"54","Flemish Bloc"
"55","People’s Union - Complete Democracy for the 21st century"
"56","Green Left"
"57","Communist Party of the Netherlands"
"58","Socialist Party"
"59","Pacifist Socialist Party"
"60","Radical Political Party"
"61","Labour Party"
"62","DENK"
"63","Democrats‘66"
"64","Livable Netherlands"
"65","Christian Democratic Appeal"
"66","Catholic People’s Party"
"67","Democratic Socialists‘70"
"68","Centre Party"
"69","Party for the Animals"
"70","50Plus"
"71","Green Left Ecological Initiative"
"72","Green Alternative"
"73","Green Left Ecological Initiative - Green Alternative"
"74","Communist Party of Luxembourg"
"75","The Left"
"76","Socialist Workers’ Party of Luxembourg"
"77","Patriotic and Democratic Group"
"78","Christian Social People’s Party"
"79","Action Committee for Democracy and Pension Justice"
"80","Left Front"
"81","The Greens"
"82","French Communist Party"
"83","Left Radical Party"
"84","Indomitable France"
"85","French Section of the Workers' International"
"86","Radical Socialist Party"
"87","Centre, Democracy and Progress"
"88","Reformers’ Movement"
"89","Union for the Presidential Majority"
"90","New Centre"
"91","Centrist Alliance"
"92","Civil Revolution"
"93","Green Federation"
"94","The Girasole (‘Sunflower')"
"95","Proletarian Unity Party for Communism (The Manifesto + Proletarian Unity Party)"
"96","Proletarian Democracy"
"97","Communist Refoundation Party"
"98","Party of Italian Communists"
"99","Italian Communist Party"
"100","Rose in the Fist"
"101","Left Ecology Freedom"
"102","Italian Socialist Party"
"103","Unified Italian Socialist Party-Italian Democratic Socialist Party"
"104","Olive Tree"
"105","Socialist Party of Italian Workers"
"106","Daisy - Democracy is Freedom"
"107","Democratic Party"
"108","Labour and Freedom List"
"109","European Democracy"
"110","List Di Pietro - Italy of Values"
"111","Autonomy Liberty Democracy (Aosta Valley)"
"112","South Tyrolean People’s Party"
"113","Autonomy Progress Federalism Aosta Valley"
"114","Popular Democratic Union for Europe"
"115","The Union – Prodi"
"116","Five Star Movement"
"117","Popular Unity"
"118","United We Can"
"119","Future Yes"
"120","Amaiur"
"121","Commitment-Q"
"122","In Common We Can"
"123","In Tide"
"124","Commitment-We can-It is time"
"125","Democracy and Freedom"
"126","We can"
"127","Communist Party of Spain"
"128","Spanish Socialist Workers’ Party"
"129","Citizens"
"130","Union of the Democratic Centre/Centrist Bloc"
"131","Union, Progress and Democracy"
"132","Centre Democrats"
"133","Forum Asturias"
"134","Basque Left"
"135","Basque Nationalist Party"
"136","Basque Solidarity"
"137","Aragonese Regionalist Party"
"138","Catalan Republican Left"
"139","Andalusian Party"
"140","Canarian Coalition"
"141","Galician Nationalist Bloc"
"142","Aragonist Council"
"143","Democratic Convergence of Catalonia"
"144","Coalition of the Radical Left"
"145","Communist Party of Greece"
"146","Progressive Left Coalition"
"147","Coalition of the Radical Left - Unionist Social Front"
"148","Democratic Left"
"149","Popular Unity"
"150","Panhellenic Socialist Movement"
"151","Democratic Social Movement"
"152","The River"
"153","Union of Centrists"
"154","Centre Union"
"155","People-Animals_Nature"
"156","Popular Democratic Union"
"157","Left Bloc"
"158","Portuguese Communist Party"
"159","Unified Democratic Coalition"
"160","Popular Democratic Movement"
"161","Socialist Party"
"162","National Solidarity Party"
"163","The Greens"
"164","Greens/Alliance‘90"
"165","Alliance‘90/Greens"
"166","Communist Party of Germany"
"167","Party of Democratic Socialism"
"168","The Left. Party of Democratic Socialism"
"169","The Left"
"170","Social Democratic Party of Germany"
"171","Centre Party"
"172","German Party"
"173","Economic Reconstruction League"
"174","Refugee Party"
"175","Pirates"
"176","Green Alternative"
"177","Peter Pilz List"
"178","Austrian Communist Party"
"179","Austrian Social Democratic Party"
"180","The New Austria"
"181","Alliance for the Future of Austria"
"182","Greens"
"183","Green Liberal Party"
"184","Swiss Labour Party"
"185","Social Democratic Party of Switzerland"
"186","Independents’ Alliance"
"187","Christian Social Party"
"188","Green Party of England and Wales"
"189","We Ourselves"
"190","Labour Party"
"191","Social Democratic Party"
"192","Social Democratic and Labour Party"
"193","Liberal Party"
"194","Liberal Democrats"
"195","The Party of Wales"
"196","Scottish National Party"
"197","Northern Ireland Labour Party"
"198","Nationalist Party"
"199","United Left Alliance"
"200","Green Party"
"201","Workers’ Party"
"202","Democratic Left Party"
"203","Socialist Party"
"204","People Before Profit Alliance"
"205","Anti-Austerity Alliance"
"206","Workers and Unemployment Action"
"207","Labour Party"
"208","Social Democrats"
"209","Republican Party"
"210","Party of the Land"
"211","We Ourselves"
"212","Labour Party"
"213","Nationalist Party"
"214","Ecological and Environmental Movement"
"215","Progressive Party of the Working People"
"216","United Democratic Union of Cyprus"
"217","Citizens' Alliance"
"218","Democratic Party"
"219","La Follette Progressive Party"
"220","Progressive Party (H. Wallace)"
"221","Green Party"
"222","Cooperative Commonwealth Federation"
"223","Liberal Party of Canada"
"224","Quebec Bloc"
"225","Australian Greens"
"226","Australian Labor Party"
