"","V1","V2","V3"
"1","Agrarian Party","1978","11810"
"2","National Coalition","1976","14620"
"3","Citizens’ Party","1987","15621"
"4","Christian People’s Party","1987","21521"
"5","General Elderly Alliance","1994","22954"
"6","Ecology Generation","1997","31111"
"7","Republic Onwards!","2017","31425"
"8","Rally for the Republic","1995","31625"
"9","Italian Republican Party","1968","32410"
"10","The Network/Movement for Democracy","1993","32951"
"11","Convergence and Union","1994","33611"
"12","Navarrese People's Union","2006","33910"
"13","Portugal Ahead","2015","35060"
"14","Protestant People’s Party of Switzerland","1993","43530"
"15","New Liberal Club","1980","71621"
"16","United Arab List - Arab movement for revival","2009","72092"
"17","Forward","2009","72430"
"18","Torah Flag","1988","72614"
"19","Democratic Alliance Party","1996","75421"
"20","Armenian Revolutionary Federation","2005","76321"
"21","Heritage","2009","76430"
"22","Unity","1999","76903"
"23","Azerbaijan Popular Front","1997","77420"
"24","Alliance of Reform Forces of Yugoslavia","1990","79222"
"25","Coalition of Bulgarian Socialist Party","1992","80228"
"26","Dalmatian Action","1992","81954"
"27","Coalititon of Dalmatian Action, Istrian Democratic Assembly and Democratic Alliance of Rijeka","1992","81959"
"28","Public Affairs","2010","82952"
"29","Electoral Union ‘Popular Front'","1992","83421"
"30","Popular Front","1990","84720"
"31","National Democratic Party of Germany","1990","85424"
"32","Together 2014 -Dialogue for Hungary Electoral Alliance","2014","86340"
"33","Unity","2011","87062"
"34","Greens' and Farmers’ Union","2008","87110"
"35","Centre Movement of Lithuania","1996","88420"
"36","Alliance of Reform Forces of Macedonia","1992","89222"
"37","Joint Candidates of Socialist Party of Macedonia/Young Democratic Progressive Party of Macedonia/Alliance of Reform Forces of Macedonia/Party for the Complete Emancipation of the Roma","1990","89229"
"38","Internal Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity","2004","89710"
"39","Alliance of the Christian Democratic People's Front","2000","90520"
"40","Socialist People’s Party of Montenegro","2005","91224"
"41","For a Better Live","1998","91323"
"42","Democratic Montenegro","2016","91440"
"43","Bosniak Party","2014","91920"
"44","Left and Democrats","2007","92021"
"45","Centre Citizens’ Alliance","1991","92521"
"46","Movement for the Autonomy of Silesia","1991","92952"
"47","Romanian Ecological Party","1990","93112"
"48","Christian Democratic National Peasants’ Party","1990","93521"
"49","United Russia","2007","94951"
"50","Hungarian Coalition","2008","95901"
"51","Party for Democratic Activity","1993","95955"
"52","Network","2016","96630"
"53","Gregor Virant's Civic List","2011","97450"
"54","Slovenian Christian Democrats","1992","97520"
"55","Labour Party","1994","98423"
"56","National Regeneration Movement","2015","171210"
