"","V1","V2","V3"
"1","Green Ecology Party","2000","11110"
"2","Communist Party of Sweden","1978","11220"
"3","Social Democratic Labour Party","1978","11320"
"4","People’s Party","1978","11420"
"5","Agrarian Party","1978","11810"
"6","Green Party","2013","12110"
"7","Norwegian Communist Party","1951","12220"
"8","Socialist People’s Party","1987","12221"
"9","Norwegian Labour Party","1979","12320"
"10","New People’s Party","1973","12410"
"11","Liberal Party","1979","12420"
"12","Christian People’s Party","1979","12520"
"13","Farmers’ Party","1979","12810"
"14","Left Socialist Party","1976","13210"
"15","Danish Communist Party","1964","13220"
"16","Common Course","1987","13221"
"17","Red-Green Unity List","2002","13229"
"18","Socialist People’s Party","1983","13230"
"19","Social Democratic Party","1976","13320"
"20","Danish Social-Liberal Party","1976","13410"
"21","Danish Union","1945","13953"
"22","Green Union","1997","14110"
"23","Finnish People’s Democratic Union","1965","14221"
"24","Democratic Alternative","1987","14222"
"25","Left Wing Alliance","2001","14223"
"26","Finnish Social Democrats","1976","14320"
"27","National Coalition","1976","14620"
"28","Agrarian Union","1976","14810"
"29","Swedish People’s Party","1976","14901"
"30","Left Green Movement","2006","15111"
"31","United Socialist Party","1969","15220"
"32","Social Democratic Party","1969","15320"
"33","Social Democratic Federation","1983","15321"
"34","Union of Liberals and Leftists","1970","15322"
"35","Awakening of the Nation","1995","15323"
"36","The Alliance","2006","15328"
"37","Citizens' Movement","2009","15430"
"38","Bright Future","2013","15440"
"39","Citizens’ Party","1987","15621"
"40","National Preservation Party","1953","15710"
"41","Women’s Alliance","1989","15951"
"42","Pirate Party","2013","15952"
"43","Ecologists","1995","21111"
"44","Live Differently","1995","21112"
"45","Socialist Party Different - Spirit","2005","21221"
"46","Belgian Socialist Party","1961","21320"
"47","Flemish Socialist Party","1992","21321"
"48","Francophone Socialist Party","1993","21322"
"49","Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking","2007","21330"
"50","Liberal Reformation Party - Francophone Democratic Front","1995","21423"
"51","Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change","1999","21425"
"52","Reform Movement","2006","21426"
"53","Christian People’s Party","1987","21521"
"54","Christian Social Party","1987","21522"
"55","Walloon Rally","1974","21911"
"56","Francophone Democratic Front of Francophones of Brussels","1977","21912"
"57","Flemish Christian Peoples’ Union","1974","21913"
"58","Flemish Bloc","1989","21914"
"59","People’s Union - Complete Democracy for the 21st century","1999","21915"
"60","Green Left","2003","22110"
"61","Communist Party of the Netherlands","1958","22210"
"62","Socialist Party","2005","22220"
"63","Pacifist Socialist Party","1986","22230"
"64","Radical Political Party","1978","22310"
"65","Labour Party","1981","22320"
"66","DENK","2017","22321"
"67","Democrats‘66","1991","22330"
"68","Livable Netherlands","2002","22430"
"69","Christian Democratic Appeal","1996","22521"
"70","Catholic People’s Party","1959","22522"
"71","Democratic Socialists‘70","1973","22524"
"72","Centre Party","1982","22710"
"73","Party for the Animals","2011","22951"
"74","50Plus","2014","22953"
"75","General Elderly Alliance","1994","22954"
"76","Green Left Ecological Initiative","1989","23111"
"77","Green Alternative","1986","23112"
"78","Green Left Ecological Initiative - Green Alternative","2003","23113"
"79","Communist Party of Luxembourg","1965","23220"
"80","The Left","2011","23230"
"81","Socialist Workers’ Party of Luxembourg","1977","23320"
"82","Patriotic and Democratic Group","1977","23420"
"83","Christian Social People’s Party","1977","23520"
"84","Action Committee for Democracy and Pension Justice","2001","23951"
"85","Left Front","2012","31021"
"86","The Greens","2004","31110"
"87","Ecology Generation","1997","31111"
"88","French Communist Party","1978","31220"
"89","Left Radical Party","2014","31230"
"90","Indomitable France","2017","31240"
"91","French Section of the Workers' International","1980","31320"
"92","Radical Socialist Party","1965","31421"
"93","Republic Onwards!","2017","31425"
"94","Centre, Democracy and Progress","1973","31523"
"95","Reformers’ Movement","1973","31529"
"96","Rally for the Republic","1995","31625"
"97","Union for the Presidential Majority","2009","31626"
"98","New Centre","2012","31630"
"99","Centrist Alliance","2012","31631"
"100","Civil Revolution","2013","32021"
"101","Green Federation","1995","32110"
"102","The Girasole (‘Sunflower')","2001","32111"
"103","Proletarian Unity Party for Communism (The Manifesto + Proletarian Unity Party)","1979","32210"
"104","Proletarian Democracy","1985","32211"
"105","Communist Refoundation Party","1997","32212"
"106","Party of Italian Communists","2003","32213"
"107","Italian Communist Party","1974","32220"
"108","Rose in the Fist","2006","32221"
"109","Left Ecology Freedom","2013","32230"
"110","Italian Socialist Party","1970","32320"
"111","Unified Italian Socialist Party-Italian Democratic Socialist Party","1968","32322"
"112","Olive Tree","2003","32329"
"113","Socialist Party of Italian Workers","1971","32330"
"114","Italian Republican Party","1968","32410"
"115","Daisy - Democracy is Freedom","2001","32421"
"116","Democratic Party","2010","32440"
"117","Labour and Freedom List","2013","32640"
"118","European Democracy","2001","32901"
"119","List Di Pietro - Italy of Values","2005","32902"
"120","Autonomy Liberty Democracy (Aosta Valley)","2006","32903"
"121","South Tyrolean People’s Party","2009","32904"
"122","Autonomy Progress Federalism Aosta Valley","2013","32906"
"123","The Network/Movement for Democracy","1993","32951"
"124","Popular Democratic Union for Europe","2006","32953"
"125","The Union – Prodi","2006","32955"
"126","Five Star Movement","2013","32956"
"127","Popular Unity","2015","33020"
"128","United We Can","2016","33025"
"129","Future Yes","2011","33091"
"130","Amaiur","2011","33092"
"131","Commitment-Q","2011","33093"
"132","In Common We Can","2015","33096"
"133","In Tide","2015","33097"
"134","Commitment-We can-It is time","2015","33098"
"135","Democracy and Freedom","2015","33099"
"136","We can","2015","33210"
"137","Communist Party of Spain","1993","33220"
"138","Spanish Socialist Workers’ Party","1996","33320"
"139","Citizens","2015","33420"
"140","Union of the Democratic Centre/Centrist Bloc","1979","33430"
"141","Union, Progress and Democracy","2011","33440"
"142","Centre Democrats","1987","33512"
"143","Convergence and Union","1994","33611"
"144","Forum Asturias","2011","33612"
"145","Basque Left","1982","33901"
"146","Basque Nationalist Party","1996","33902"
"147","Basque Solidarity","1998","33903"
"148","Aragonese Regionalist Party","1987","33904"
"149","Catalan Republican Left","1996","33905"
"150","Andalusian Party","1990","33906"
"151","Canarian Coalition","2005","33907"
"152","Galician Nationalist Bloc","2003","33908"
"153","Aragonist Council","2006","33909"
"154","Navarrese People's Union","2006","33910"
"155","Democratic Convergence of Catalonia","2016","33911"
"156","Coalition of the Radical Left","2008","34020"
"157","Communist Party of Greece","1998","34210"
"158","Progressive Left Coalition","1992","34211"
"159","Coalition of the Radical Left - Unionist Social Front","2015","34212"
"160","Democratic Left","2012","34213"
"161","Popular Unity","2015","34214"
"162","Panhellenic Socialist Movement","1996","34313"
"163","Democratic Social Movement","1996","34314"
"164","The River","2015","34340"
"165","Union of Centrists","2015","34410"
"166","Centre Union","1975","34510"
"167","Portugal Ahead","2015","35060"
"168","People-Animals_Nature","2015","35120"
"169","Popular Democratic Union","1980","35210"
"170","Left Bloc","2006","35211"
"171","Portuguese Communist Party","1992","35220"
"172","Unified Democratic Coalition","1998","35229"
"173","Popular Democratic Movement","1980","35310"
"174","Socialist Party","1992","35311"
"175","National Solidarity Party","1991","35951"
"176","The Greens","1985","41111"
"177","Greens/Alliance‘90","1990","41112"
"178","Alliance‘90/Greens","2005","41113"
"179","Communist Party of Germany","1949","41220"
"180","Party of Democratic Socialism","1996","41221"
"181","The Left. Party of Democratic Socialism","2005","41222"
"182","The Left","2013","41223"
"183","Social Democratic Party of Germany","1983","41320"
"184","Centre Party","1951","41522"
"185","German Party","1953","41620"
"186","Economic Reconstruction League","1949","41711"
"187","Refugee Party","1953","41951"
"188","Pirates","2013","41952"
"189","Green Alternative","2001","42110"
"190","Peter Pilz List","2017","42120"
"191","Austrian Communist Party","2005","42220"
"192","Austrian Social Democratic Party","1982","42320"
"193","The New Austria","2015","42430"
"194","Alliance for the Future of Austria","2007","42710"
"195","Greens","1997","43110"
"196","Green Liberal Party","2011","43120"
"197","Swiss Labour Party","2001","43220"
"198","Social Democratic Party of Switzerland","1981","43320"
"199","Independents’ Alliance","1973","43321"
"200","Protestant People’s Party of Switzerland","1993","43530"
"201","Christian Social Party","2009","43540"
"202","Green Party of England and Wales","2016","51110"
"203","We Ourselves","2007","51210"
"204","Labour Party","1979","51320"
"205","Social Democratic Party","1985","51330"
"206","Social Democratic and Labour Party","2015","51340"
"207","Liberal Party","1965","51420"
"208","Liberal Democrats","2005","51421"
"209","The Party of Wales","2016","51901"
"210","Scottish National Party","2004","51902"
"211","Northern Ireland Labour Party","1949","52320"
"212","Nationalist Party","1946","52710"
"213","United Left Alliance","2011","53021"
"214","Green Party","2002","53110"
"215","Workers’ Party","1984","53220"
"216","Democratic Left Party","1994","53221"
"217","Socialist Party","2011","53230"
"218","People Before Profit Alliance","2016","53231"
"219","Anti-Austerity Alliance","2016","53240"
"220","Workers and Unemployment Action","2016","53250"
"221","Labour Party","1980","53320"
"222","Social Democrats","2016","53321"
"223","Republican Party","1956","53714"
"224","Party of the Land","1954","53810"
"225","We Ourselves","2006","53951"
"226","Labour Party","1997","54320"
"227","Nationalist Party","1997","54620"
"228","Ecological and Environmental Movement","2011","55110"
"229","Progressive Party of the Working People","2006","55321"
"230","United Democratic Union of Cyprus","2006","55322"
"231","Citizens' Alliance","2016","55340"
"232","Democratic Party","1968","61320"
"233","La Follette Progressive Party","1924","61621"
"234","Progressive Party (H. Wallace)","1948","61622"
"235","Green Party","2011","62110"
"236","Cooperative Commonwealth Federation","1979","62320"
"237","Liberal Party of Canada","1979","62420"
"238","Quebec Bloc","2004","62901"
"239","Australian Greens","2010","63110"
"240","Australian Labor Party","1979","63320"
"241","Katter's Australian Party","2014","63710"
"242","Nick Xenophon Team","2016","63901"
"243","Green Party of Aotearoa New Zealand","2006","64110"
"244","New Zealand Labour Party","1979","64320"
"245","The Alliance","1996","64321"
"246","Jim Anderton’s Progressive Coalition","2005","64422"
"247","New Zealand First Party","2002","64621"
"248","Maori Party","2009","64901"
"249","Mana Party","2011","64902"
"250","Social Credit Political League","1972","64951"
"251","Tomorrow Party of Japan","2012","71110"
"252","People's Life Party","2014","71111"
"253","Japanese Communist Party","1987","71220"
"254","Japan Socialist Party","1987","71320"
"255","Democratic Socialist Party","1976","71321"
"256","Social Democratic Federation","1984","71322"
"257","Your Party","2010","71410"
"258","Liberal League","2003","71420"
"259","Clean Government Party","1989","71530"
"260","Liberal Democratic Party","1987","71620"
"261","New Liberal Club","1980","71621"
"262","Japan Renewal Party","1993","71622"
"263","Democratic Party of Japan","2005","71624"
"264","People's New Party","2008","71630"
"265","Independent's Party","2003","71640"
"266","New Party Mother Earth","2012","71650"
"267","New Party Harbinger","1994","71951"
"268","Japan New Party","1993","71952"
"269","New Party Nippon","2009","71953"
"270","Joint List","2015","72091"
"271","United Arab List - Arab movement for revival","2009","72092"
"272","Israel Communist Party","1958","72220"
"273","Focus","1973","72221"
"274","Progressive List for Peace","1986","72222"
"275","New Communist Party","1969","72224"
"276","Democratic Front for Peace and Equality","1995","72225"
"277","Citizens’ Rights Movement","1980","72310"
"278","United Workers’ Party","1961","72311"
"279","One Nation","2001","72312"
"280","Israeli Labour Party","2001","72323"
"281","Meretz","2004","72326"
"282","Zionist Union","2015","72328"
"283","Forward","2009","72430"
"284","The Movement","2013","72431"
"285","There is a Future","2014","72440"
"286","All of us","2015","72450"
"287","Crossroads - non-aligned movement for Zionist Renewal","1990","72613"
"288","Torah Flag","1988","72614"
"289","United Arab List","1996","72901"
"290","Sri Lanka Freedom Party","1963","73310"
"291","United National Party","1961","73330"
"292","Peoples' Democratic Party","2015","74210"
"293","Republican People’s Party","1983","74321"
"294","Populist Party","1983","74322"
"295","Social Democratic Populist Party","1989","74323"
"296","Peace and Democracy Party","2011","74325"
"297","Democratic Society Party","2007","74326"
"298","Democratic Turkey Party","1999","74627"
"299","Justice and Development Party","2010","74628"
"300","Republican National Party","1954","74710"
"301","Nationalist Democratic Party","1983","74711"
"302","Social Democratic Party of Albania","1995","75320"
"303","Democratic Alliance Party","1996","75421"
"304","Agrarian Party of Albania","1996","75810"
"305","Armenian National Congress","2012","76041"
"306","Armenian Revolutionary Federation","2005","76321"
"307","United Labour Party","2003","76322"
"308","Heritage","2009","76430"
"309","Prosperous Armenia","2009","76620"
"310","Unity","1999","76903"
"311","Azerbaijan United Communist Party","2000","77221"
"312","Azerbaijan Popular Front","1997","77420"
"313","Azerbaijan Democratic Entrepeneurs Party","1995","77430"
"314","Party of Communists of Belarus","1995","78211"
"315","Agrarian Party of Belarus","1995","78212"
"316","Belarusan Peasants' Party","1995","78213"
"317","Party of Women ‘Nadzeja’","1995","78901"
"318","League of Communists of Bosnia and Herzegovina-Social Democratic Party","1990","79221"
"319","Alliance of Reform Forces of Yugoslavia","1990","79222"
"320","Social Democratic Party of Bosnia and Herzegovina","2005","79321"
"321","Coalition for a United and Democratic Bosnia and Herzegovina","1998","79421"
"322","Party of Democratic Progress of the Republika Srpska","2002","79422"
"323","New Croation Initiative","2000","79423"
"324","Alliance for a Better Future of Bosnia and Herzegovina","2012","79610"
"325","Serbian Radical Party of the Republika Srpska","1998","79721"
"326","Muslim-Bosniac Organization","1990","79954"
"327","Bosnian-Herzegovinian Patriotic Party","2006","79957"
"328","Reformist bloc","2014","80061"
"329","Bulgarian Socialist Party","1998","80220"
"330","Coalition for Bulgaria","2009","80221"
"331","Coalition of Bulgarian Socialist Party","1992","80228"
"332","Alternative for Bulgarian Revival","2014","80330"
"333","Bulgaria without Censorship","2014","80630"
"334","National Union Attack","2010","80710"
"335","Bulgarian People's Union","2005","80813"
"336","National Movement Simeon the Second","2003","80902"
"337","Coalition of the Social Democratic Party of Croatia and the Croatian Social-liberal Party","2000","81021"
"338","Kukuriku Coalition","2014","81032"
"339","Coalition of the Croatian Peasant Party, the Croatian Social-liberal Party and the Primorian-Goranski Union","2007","81041"
"340","Coalition of the Croatian Social-liberal Party and the Democratic Centre","2003","81042"
