"","V1","V2","V3"
"1","Christian Democratic Coalition","2000","11520"
"2","Right Party","1978","11620"
"3","Sweden Democrats","2012","11710"
"4","New Democracy","1991","11951"
"5","Conservative Party","1979","12620"
"6","Anders Lange’s Party","1993","12951"
"7","New Alliance","2009","13001"
"8","Centre Democrats","1985","13330"
"9","Liberals","1976","13420"
"10","Independents’ Party","1961","13421"
"11","Liberal Centre","1967","13422"
"12","Christian People’s Party","1985","13520"
"13","Conservative People’s Party","1976","13620"
"14","Danish People’s Party","2004","13720"
"15","Progress Party","1984","13951"
"16","Justice Party","1964","13952"
"17","Social Democratic League of Workers and Smallholders","1962","14310"
"18","National Progressive Party","1964","14420"
"19","Young Finnish Party","1995","14430"
"20","Finnish Christian Union","1989","14520"
"21","Finnish Smallholders’ Party","1987","14820"
"22","Liberal Party","2003","15420"
"23","Independence Party","1978","15620"
"24","Progressive Party","1978","15810"
"25","Liberal Party","1956","21420"
"26","Party of Liberty and Progress","1989","21421"
"27","Party of Liberty and Progress","1980","21422"
"28","Brussels Liberal Party","1975","21424"
"29","List Dedecker","2008","21430"
"30","Francophone Christian Social Party and Flemish Christian People’s Party","1954","21520"
"31","New Flemish Alliance","2006","21916"
"32","Flemish Interest","2008","21917"
"33","Freedom Party","1981","22420"
"34","Anti-Revolutionary Party","1959","22523"
"35","Christian Historical Union","1959","22525"
"36","Christian Union","2008","22526"
"37","Reformed Political League","1990","22527"
"38","Reformatory Political Federation","1988","22528"
"39","Centre Democrats","1991","22711"
"40","List Pim Fortuyn","2002","22720"
"41","Party of Freedom","2011","22722"
"42","Forum for Democracy","2017","22730"
"43","Reformed Political Party","1990","22952"
"44","Union 55+","1994","22955"
"45","Union of Democrats and Independents","2017","31430"
"46","Popular Republican Movement","1954","31521"
"47","Democratic Centre","1967","31522"
"48","Rally for the French People - Gaullists","1967","31621"
"49","Republican Party of Liberty - Conservatives","1967","31622"
"50","Union for the Defence of Traders and Artisans - Poujadists","1956","31623"
"51","Union for French Democracy","1996","31624"
"52","National Front","2000","31720"
"53","People of Freedom","2010","32061"
"54","Radical Party","1986","32310"
"55","Italian Renewal","1996","32321"
"56","Italian Liberal Party","1968","32420"
"57","Democratic Centre","2013","32450"
"58","Civic Choice","2013","32460"
"59","Christian Democrats","1972","32520"
"60","Christian Democratic Centre","1996","32521"
"61","White Flower","2001","32522"
"62","Pact for Italy","1994","32528"
"63","Democratic Alliance","1995","32529"
"64","Union for Christian and Center Democrats","2009","32530"
"65","Go Italy","1999","32610"
"66","New Italian Socialist Party","2003","32611"
"67","House of Freedom","2001","32629"
"68","Brothers of Italy - National Centre-right","2013","32630"
"69","Italian Social Movement","1978","32710"
"70","Northern League","2001","32720"
"71","Italy in the World","2006","32952"
"72","Basque Country Unite","2015","33095"
"73","Popular Democratic Party","1984","33438"
"74","Liberal Party","1986","33439"
"75","Popular Alliance","1996","33610"
"76","New Democracy","1996","34511"
"77","Political Spring","1994","34512"
"78","National Alignment","1977","34610"
"79","Popular Orthodox Rally","2009","34710"
"80","Golden Dawn","2013","34720"
"81","Independent Greeks","2013","34730"
"82","Ecologist Party ‘The Greens'","1999","35110"
"83","Democratic Renewal Party","1986","35312"
"84","Popular Democratic Party","1991","35313"
"85","Democratic Intervention","1987","35315"
"86","Association of Independent Social Democrats","1980","35316"
"87","Leftwing Union for the Socialist Democracy","1980","35317"
"88","Social Democratic Center Party","1991","35520"
"89","Popular Monarchist Party","1979","35710"
"90","Free Democratic Party","1983","41420"
"91","Christian Democratic Union/Christian Social Union","1983","41521"
"92","German Reich Party","1949","41712"
"93","Bavarian Party","1949","41911"
"94","South Schleswig Voters’ Union","1949","41912"
"95","Alternative for Germany","2015","41953"
"96","League of Independents","1982","42420"
"97","Liberal Forum","1994","42421"
"98","Austrian People’s Party","1982","42520"
"99","Team Stronach for Austria","2013","42951"
"100","Radical Democratic Party","1981","43420"
"101","Conservative People’s Party","1981","43520"
"102","Liberal Party of Switzerland","1997","43531"
"103","National Action against Foreign Domination","1987","43710"
"104","Federal Democratic Union","1999","43711"
"105","Farmers’, Traders’ and Citizens’ Party","1981","43810"
"106","Conservative Democratic Party of Switzerland","2013","43811"
"107","Ticino League","2007","43901"
"108","Geneva Citizens' Movement","2013","43902"
"109","Swiss Motorists’ Party","1991","43951"
"110","Conservative Party","1979","51620"
"111","Ulster Unionist Party","2001","51621"
"112","Democratic Unionist Party","2004","51903"
"113","United Kingdom Independence Party","2011","51951"
"114","Unionist Party","1947","52620"
"115","Progressive Democrats","1995","53420"
"116","Familiy of the Irish","1980","53520"
"117","Soldiers of Destiny","1980","53620"
"118","Independent Alliance","2016","53981"
"119","Liberal Party","1996","55421"
"120","Democratic Party","2006","55422"
"121","Free Democrats Movement","1996","55423"
"122","European Party","2008","55430"
"123","Solidarity Movement","2016","55610"
"124","Democratic Coalition","2006","55711"
"125","National Popular Front","2016","55720"
"126","Republican Party","1968","61620"
"127","State’s Rights Party","1948","61911"
"128","Progressive Conservative Party","1971","62620"
"129","Reform Party of Canada","1995","62621"
"130","Canadian Reform Conservative Alliance","2000","62622"
"131","Conservative Party of Canada","2008","62623"
"132","Social Credit","1960","62951"
"133","Australian Democrats","1996","63321"
"134","Australian Labor Party (Anti-Communist)","1967","63330"
"135","Palmer United Party","2013","63410"
"136","Liberal Party of Australia","1979","63620"
"137","Liberal National Party of Queensland","2013","63621"
"138","Country Liberal Party","2013","63622"
"139","Country Party","1979","63810"
"140","ACT New Zealand","2005","64420"
"141","United Future New Zealand","2008","64421"
"142","New Zealand National Party","1979","64620"
"143","Japan Restoration Party","2012","71430"
"144","New Frontier Party","1996","71623"
"145","Liberal Party","2000","71625"
"146","New Conservative Party","2001","71626"
"147","(Japan Innovation Party","2014","71660"
"148","Peace for Israel","1979","72223"
"149","Alignment","1974","72320"
"150","Israel Workers’ List","1965","72322"
"151","Worker's Party of the Land of Israel","1955","72324"
"152","Unity of Labour","1958","72325"
"153","One Israel","1999","72327"
"154","Progressive and Independent Liberal Party","1973","72410"
"155","Liberal Party","1961","72411"
"156","Democratic Movement for Change","1977","72412"
"157","Change","1989","72413"
"158","Together","1984","72414"
"159","Center Party","1999","72415"
"160","General Zionists’","1953","72420"
"161","Courage","1984","72425"
"162","The Third Way","1996","72427"
"163","Israel for Immigration","1997","72428"
"164","National Religious Party","1980","72530"
"165","Union of Israel","1967","72531"
"166","Movement for Israel’s Tradition","1982","72532"
"167","Sephardi Torah Guardians","1999","72533"
"168","Heritage","1984","72534"
"169","Torah Judaism","1997","72535"
"170","Free Centre","1969","72610"
"171","State List","1969","72611"
"172","Renaissance Movement","1986","72612"
"173","Homeland","1992","72615"
"174","Freedom","1955","72620"
"175","Herut-Liberal Bloc","1967","72621"
"176","The Consolidation","1993","72622"
"177","Peace to Zion","1977","72623"
"178","National Union","2003","72624"
"179","Israel is Our Home","2007","72625"
"180","The Jewish Home","2012","72701"
"181","National Democratic Assembly","2008","72903"
"182","Democratic Left Party","1995","74324"
"183","Democratic Party","1953","74621"
"184","Justice Party","1969","74622"
"185","Motherland Party","1991","74623"
"186","True Path Party","1993","74624"
"187","Nation Party","1967","74625"
"188","Grand Unity Party","1999","74626"
"189","Republican Peasants' Nation Party","1990","74712"
"190","National Salvation Party","1975","74714"
"191","Welfare Party","1991","74715"
"192","Virtue Party","1999","74716"
"193","Albanian Party of Labour","1995","75220"
"194","People’s Party","1991","75621"
"195","Party of National Unity","1992","75622"
"196","Legality Movement Party","1994","75623"
"197","Democratic Party of Albania","1994","75624"
"198","National Front Party","1996","75721"
"199","Albanian Republican Party","1994","75722"
"200","Democratic Union of the Greek Minority","1995","75951"
"201","Communist Party of Armenia","1997","76222"
"202","Rule of Law","2005","76420"
"203","Justice","2003","76421"
"204","National Self-Determination Union","1995","76521"
"205","Republican Party of Armenia","2007","76610"
"206","Republic","1995","76711"
"207","National Democratic Union","1997","76712"
"208","Semiramis (Women’s Movement)","1995","76901"
"209","Right and Unity","1999","76902"
"210","National Unity Party","2003","76904"
"211","New Azerbaijan Party","1997","77220"
"212","Azerbaijan National Independence Party","1997","77710"
"213","Civil Solidarity Party","2000","77951"
"214","Belarusan Patriotic Movement","1995","78214"
"215","Party of People’s Consent","1995","78410"
"216","United Democratic Party of Belarus","1995","78430"
"217","Belarusian Social-Democratic Party ‘Hramada’","1995","78710"
"218","Socialist Party of the Republika Srpska","1996","79223"
"219","Democratic Front","2014","79322"
"220","Radical Party of the Republika Srpska","1998","79722"
"221","Party for Bosnia and Herzegovina","2002","79723"
"222","Alliance of Independent Social Democrats","2008","79730"
"223","Democratic Peoples’ Union of Bosnia and Herzegovina","2000","79901"
"224","Party of Democratic Action","2002","79951"
"225","Croatian Democratic Union of Bosnia and Herzegovina","2002","79953"
"226","Serbian Democratic Party","2002","79955"
"227","Croatian Democratic Union 1990","2010","79956"
"228","Blue Coalition","2009","80051"
"229","Patriotic Front - NFSB and VMRO","2014","80062"
"230","United Patriots","2017","80071"
"231","Political Club ‘Ekoglasnost'","1995","80110"
"232","Democratic Left","1997","80229"
"233","Euroleft Coalition","1997","80320"
"234","Union of Democratic Forces","1991","80410"
"235","United Democratic Forces","2001","80411"
