"","x"
"1","Christian Democratic Coalition"
"2","Right Party"
"3","Sweden Democrats"
"4","New Democracy"
"5","Conservative Party"
"6","Anders Lange’s Party"
"7","New Alliance"
"8","Centre Democrats"
"9","Liberals"
"10","Independents’ Party"
"11","Liberal Centre"
"12","Christian People’s Party"
"13","Conservative People’s Party"
"14","Danish People’s Party"
"15","Progress Party"
"16","Justice Party"
"17","Social Democratic League of Workers and Smallholders"
"18","National Progressive Party"
"19","Young Finnish Party"
"20","Finnish Christian Union"
"21","Finnish Smallholders’ Party"
"22","Liberal Party"
"23","Independence Party"
"24","Progressive Party"
"25","Liberal Party"
"26","Party of Liberty and Progress"
"27","Party of Liberty and Progress"
"28","Brussels Liberal Party"
"29","List Dedecker"
"30","Francophone Christian Social Party and Flemish Christian People’s Party"
"31","New Flemish Alliance"
"32","Flemish Interest"
"33","Freedom Party"
"34","Anti-Revolutionary Party"
"35","Christian Historical Union"
"36","Christian Union"
"37","Reformed Political League"
"38","Reformatory Political Federation"
"39","Centre Democrats"
"40","List Pim Fortuyn"
"41","Party of Freedom"
"42","Forum for Democracy"
"43","Reformed Political Party"
"44","Union 55+"
"45","Union of Democrats and Independents"
"46","Popular Republican Movement"
"47","Democratic Centre"
"48","Rally for the French People - Gaullists"
"49","Republican Party of Liberty - Conservatives"
"50","Union for the Defence of Traders and Artisans - Poujadists"
"51","Union for French Democracy"
"52","National Front"
"53","People of Freedom"
"54","Radical Party"
"55","Italian Renewal"
"56","Italian Liberal Party"
"57","Democratic Centre"
"58","Civic Choice"
"59","Christian Democrats"
"60","Christian Democratic Centre"
"61","White Flower"
"62","Pact for Italy"
"63","Democratic Alliance"
"64","Union for Christian and Center Democrats"
"65","Go Italy"
"66","New Italian Socialist Party"
"67","House of Freedom"
"68","Brothers of Italy - National Centre-right"
"69","Italian Social Movement"
"70","Northern League"
"71","Italy in the World"
"72","Basque Country Unite"
"73","Popular Democratic Party"
"74","Liberal Party"
"75","Popular Alliance"
"76","New Democracy"
"77","Political Spring"
"78","National Alignment"
"79","Popular Orthodox Rally"
"80","Golden Dawn"
"81","Independent Greeks"
"82","Ecologist Party ‘The Greens'"
"83","Democratic Renewal Party"
"84","Popular Democratic Party"
"85","Democratic Intervention"
"86","Association of Independent Social Democrats"
"87","Leftwing Union for the Socialist Democracy"
