"","x"
"1",-18.303125
"2",-36.6101818181818
"3",-25.4005454545455
"4",-2.45740909090909
"5",3.72625
"6",31.0241363636364
"7",4.52
"8",-0.930772727272727
"9",42.806
"10",-17.939
"11",-25.025
"12",-37.5645714285714
"13",-30.1704444444444
"14",-16.4
"15",-18.3307777777778
"16",-4.01016666666667
"17",2.8575
"18",-8.46116666666667
"19",26.8340909090909
"20",19.612
"21",-22.952875
"22",-31.7338235294118
"23",-48.544
"24",-30.9061666666667
"25",-33.72585
"26",-15.6873461538462
"27",16.1794166666667
"28",-7.70223076923077
"29",18.5323846153846
"30",33.2653333333333
"31",3.5295
"32",20.5252857142857
"33",23.9691153846154
"34",25.7082
"35",28.7428181818182
"36",11.35
"37",-13.971
"38",-27.27925
"39",-32.6762307692308
"40",-42.466
"41",-36.0305
"42",40.517
"43",-13.409
"44",14.8315
"45",15.094
"46",22.5161666666667
"47",0.660631578947368
"48",-5.482
"49",8.51207692307692
"50",-8.74168421052632
"51",-21.8462
"52",-11.2148125
"53",-11.659625
"54",-15.1
"55",-22.2
"56",-11.411
"57",-17.2968
"58",6.81466666666667
"59",-1.613
"60",-6.633
"61",23.358619047619
"62",-0.1
"63",-9.3
"64",16.9468571428571
"65",-23.819
"66",-40
"67",-12.8717777777778
"68",-6.82644444444444
"69",-8.6085
"70",-24.3562727272727
"71",-18.6238888888889
"72",-17.9167
"73",-17.939
"74",20.75475
"75",10.4744615384615
"76",6.503
"77",-4.127
"78",7.847
"79",-7.805
"80",-16.88
"81",37.6225
"82",3.01714285714286
"83",-0.203071428571428
"84",-8.57592857142857
"85",-12.0051666666667
"86",-3.2933
"87",-2.87721428571429
"88",-2.94575
"89",-6.612
"90",10.5416666666667
"91",32.007
"92",-8.04355555555555
"93",-30.254
"94",-17.325625
"95",-23.542
"96",-28.2166666666667
"97",-19.4795909090909
"98",-24.828
"99",-11.8515
"100",15.2561818181818
"101",-1.813
"102",-1.52315384615385
"103",-1.85555555555556
"104",5.03333333333333
"105",-13.1333333333333
"106",8.88333333333333
"107",14.3946666666667
"108",22.88375
"109",28.5174
"110",-4.847
"111",7.8715
"112",9.098
"113",21.9005
"114",16.471
"115",-4.645
"116",31.936
"117",-18.711
"118",0.851
"119",5.24
"120",-17.5
"121",-26.05
"122",-22.1792
"123",-41.4052727272727
"124",-37.614
"125",-29.0673125
"126",-4.917875
"127",-6.7224375
"128",-1.88933333333333
"129",-47.925
"130",-23.4881666666667
"131",0
"132",-27.4024705882353
"133",-22.932
"134",-30.019
"135",-27.039
"136",-8.628625
"137",0
"138",13.619
"139",11.737
"140",1.65
"141",-4
"142",-11.7
"143",20.5041666666667
"144",17.0423333333333
"145",21.461
"146",2.3729
"147",-0.7225
"148",-2.40475
"149",-24.028
"150",-16.667
"151",28.72375
"152",-20.531
"153",8.8495
"154",-5.845
"155",-7.584
"156",-14.318
"157",-21.111
"158",-25.5254
"159",-12.647
"160",-11.0217333333333
"161",-17.71
"162",-19.43
"163",32.8265714285714
"164",-13.3760833333333
"165",35.294
"166",-18.699
"167",-12.647
"168",-12.1615
"169",-0.728833333333334
"170",6.42875
"171",-7.584
"172",-7.2195
"173",24.49
"174",1.19
"175",5.24878571428571
"176",35.185
"177",18.68
"178",10.888
"179",19.8505
"180",23.451
"181",41.0115
"182",33.435
"183",19.551
"184",15.835
"185",-10.227
"186",12.4506
"187",14.5254285714286
"188",-8.805
"189",-6.52266666666667
"190",-17.71
"191",-5.4755
"192",-18.182
"193",0
"194",48.19
"195",-17.71
"196",-17.71
"197",-49.032
"198",-45.683
"199",-36.919
"200",-16.393
"201",-17.241
"202",-23.461
"203",5.611
"204",-41.427
"205",-42.517
"206",-34.659
"207",-18.149
"208",-32.952
"209",-26.4168181818182
"210",-17.2720769230769
"211",-21.6925
"212",-2.40266666666667
"213",6.8245
"214",1.58
"215",-22.222
"216",-14.656
"217",3.54369230769231
"218",-0.721
"219",-17.839
"220",-23.499
"221",-9.028
"222",-14.7826666666667
"223",-14.879
"224",-18.5081538461538
